Region,Year,Annual CPI
West,2010,221.203
West,2011,227.485
West,2012,232.376
West,2013,235.824
West,2014,240.215
West,2015,243.015
West,2016,247.705
West,2017,254.738
West,2018,263.263
Northeast,2010,233.868
Northeast,2011,240.997
Northeast,2012,245.698
Northeast,2013,249.038
Northeast,2014,252.463
Northeast,2015,252.185
Northeast,2016,254.85
Northeast,2017,259.538
Northeast,2018,265.139
South,2010,211.338
South,2011,218.618
South,2012,223.242
South,2013,226.721
South,2014,230.552
South,2015,230.147
South,2016,232.692
South,2017,237.456
South,2018,242.737
Midwest,2010,208.046
Midwest,2011,214.743
Midwest,2012,219.1
Midwest,2013,222.17
Midwest,2014,225.425
Midwest,2015,224.21
Midwest,2016,226.115
Midwest,2017,229.874
Midwest,2018,234.29
